evidenceID,title,description,timestamp,latitude,longitude,deviceId,userId,caseId,fileType,fileHash,googleDriveId
EVID001,MP4 Evidence File,Dashcam video from involved vehicle,2019-04-25 18:31:39,116.5217044,132.1625042,192.168.1.37,,CASE004,mp4,89aaf39849b08315c966065709cbba1794197d130c104fc641ca51aa0d4f1bbb,drive-2e2b5a4f
EVID002,MP4 Evidence File,Footage captured by intersection CCTV camera,2019-04-25 18:32:01,,,,USER001,CASE010,mp4,35a372f130cc36cc5e07ea4eca7606c5a1f84a523409f5c7a9ae85bc5cd13a19,drive-c64d9422
EVID003,JPG Evidence File,Crash debris photo from police drone,2019-04-25 18:49:34,132.2538989,,192.168.1.33,,CASE001,jpg,f8a4f0131e9912786d22dd8779751389ebc6e1e8cbc4c69a939d86bd39f7b209,drive-4dc771fb
EVID004,MP4 Evidence File,Bystander mobile video near the scene,2019-04-25 18:49:59,,145.5394472,192.168.1.30,USER001,CASE006,mp4,6daa2e996d7a806369347ee8deec555b085d6cda4fb7ee285a7c1e052724d8c3,drive-f1262529
EVID005,LOG Evidence File,Speed and brake log from smart vehicle system,,132.9048604,146.1442792,192.168.1.31,,CASE010,log,300444450e68be9da9ddeabcc4f345e0fd4f5de427ed343e2beef4a29765b093,drive-9a614d44
EVID006,JPG Evidence File,Snapshot from civilian phone,2019-04-25 18:50:57,126.9755413,143.0571044,192.168.1.34,USER001,CASE003,jpg,e013acc6a85ff2d96f75e124fc0c1ae0d97633e5188402c640b7d4299dd7f260,drive-4c38c46b
EVID007,LOG Evidence File,Speed and brake log from smart vehicle system,,127.2024109,143.8718727,192.168.1.79,USER005,CASE002,log,a628245d089770a478410afee6f6ccbd2969adab678295d1e107a4c4521f3795,drive-66ff64d8
EVID008,JPG Evidence File,Snapshot from civilian phone,2019-04-25 18:54:54,132.90521972447,146.14463852447,192.168.1.31,USER007,CASE010,jpg,1951575d53714f576dae9112444378686bdc8976acc88b9c9d889103eabaa816,drive-10f982eb
EVID009,MP4 Evidence File,Surveillance clip from nearby traffic pole,2019-04-25 18:52:57,127.8371889,144.3939093,192.168.1.250,USER011,CASE010,mp4,67e4fe05219b65a644abfce8b503cbc4216e1900c57208cb79238a3ec5e1e6d4,drive-c089a87f
EVID010,JPG Evidence File,Image captured from smart vehicle camera,2019-04-25 18:53:34,132.25425822447,145.32668342447,192.168.1.33,USER008,CASE002,jpg,ab8185cfe31eda8e59eb7541ee8c1f8db4cf8801ae8e55b3f920a575f2016ea9,drive-b02dbe7f
